UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
KES	America/Winnipeg	Kelsey
YSI	America/Toronto	Sans Souci
YTH	America/Winnipeg	Thompson
BYX	Australia/Darwin	Baniyala
CGA	America/Sitka	Craig SPB
WHB	Australia/Perth	Eliwana Airport
LPT	Asia/Bangkok	Lampang Airport
LTK	Asia/Damascus	Latakia
ZGI	America/Winnipeg	Gods River Airport
MAW	America/Chicago	Malden
AGL	Pacific/Port_Moresby	Wanigela
MAX	Africa/Dakar	Matam
BFB	America/Anchorage	Blue Fox Bay
YZP	America/Vancouver	Sandspit Airport
YZT	America/Vancouver	Port Hardy Airport
YTD	America/Winnipeg	Thicket Portage
ZPB	America/Winnipeg	Sachigo Lake Airport
MBA	Africa/Nairobi	Moi International Airport
MGZ	Asia/Rangoon	Myeik Airport
MHD	Asia/Tehran	Mashhad International Airport
OBA	Australia/Brisbane	Oban
LBG	Europe/Paris	Le Bourget
LBQ	Africa/Libreville	Lambarene
CGC	Pacific/Port_Moresby	Cape Gloucester
RNA	Pacific/Guadalcanal	Ulawa Airport
DLO	America/Sitka	Dolomi
EYP	America/Bogota	El Yopal Airport
EYW	America/New_York	Key West International Airport
EZE	America/Argentina/Buenos_Aires	Ministro Pistarini Airport
HCZ	Asia/Shanghai	Chenzhou Beihu Airport
SDZ	Europe/London	"Shetland Islands	Metropolitan Area"
BVD	America/Nome	Sea Port
MLH	Europe/Zurich	EuroAirport Basel-Mulhouse-Freiburg
ZST	America/Vancouver	Stewart
DGE	Australia/Sydney	Mudgee
DGT	Asia/Manila	Dumaguete Airport
DWN	America/Chicago	Downtown Airpark
FNA	Africa/Freetown	Lungi International Airport
MNM	America/Menominee	Menominee
MNO	Africa/Lubumbashi	Manono
MQT	America/Detroit	Sawyer International Airport
MHG	Europe/Berlin	Mannheim Airport
MHH	America/Nassau	Marsh Harbour International Airport
MHK	America/Chicago	Manhattan Municipal Airport
MHQ	Europe/Mariehamn	Mariehamn Airport
YCQ	America/Dawson_Creek	Chetwynd
LDH	Australia/Lord_Howe	Lord Howe Island Airport
YED	America/Edmonton	Namao Field
MQQ	Africa/Ndjamena	Moundou
MQS	America/St_Vincent	Mustique
LOZ	America/New_York	Corbin-london
LPA	Atlantic/Canary	Gran Canaria Airport
LOQ	Africa/Gaborone	Lobatse
LPE	America/Bogota	La Primavera
LPI	Europe/Stockholm	Linkoping City Airport
PRS	Pacific/Guadalcanal	Parasi
QJI	America/Godthab	Heliport
YAE	America/Vancouver	Alta Lake
